Transaction ID,Bank,Year,Amount Involved,Fraudulent,Time,Category,Day,Frequency
TXN00164,Tamilnad Mercantile Bank Limited,2023-24,15.92,0,12:00-16:00,Medium,Weekend,Low
TXN00407,The Dhanalakshmi Bank Limited,2022-23,10.46,1,20:00-00:00,Medium,Weekday,High
TXN00002,The Dhanalakshmi Bank Limited,2023-24,19.78,0,12:00-16:00,Medium,Weekday,Low
TXN00071,ICICI Bank Limited,2023-24,21.122748418653323,1,00:00-04:00,Medium,Weekday,Low
TXN00065,Bandhan Bank Limited,2022-23,7.38,0,08:00-12:00,Small,Weekday,High
TXN00303,City Union Bank Limited,2022-23,24.93,0,08:00-12:00,Medium,Weekday,High
TXN00146,Federal Bank Limited,2022-23,8.363124870190937,1,00:00-04:00,Small,Weekday,High
TXN00482,DCB Bank Limited,2023-24,25.86,0,16:00-20:00,Medium,Weekday,Medium
TXN00075,Nainital Bank Limited,2022-23,11.48,1,00:00-04:00,Medium,Weekday,Low
TXN00482,DCB Bank Limited,2023-24,25.86,0,08:00-12:00,Medium,Weekend,Low
TXN00064,Jammu and Kashmir Bank Limited,2023-24,50.23,1,00:00-04:00,Large,Weekend,High
TXN00113,Axis Bank Limited,2023-24,15.08,0,08:00-12:00,Medium,Weekday,Low
TXN00184,DCB Bank Limited,2022-23,9.14,0,08:00-12:00,Small,Weekday,Medium
TXN00006,Yes Bank Limited,2022-23,48.503947263388056,1,00:00-04:00,Medium,Weekend,Low
TXN00430,Bandhan Bank Limited,2023-24,17.51,1,20:00-00:00,Medium,Weekday,Low
TXN00321,Kotak Mahindra Bank Limited,2021-22,48.52,1,20:00-00:00,Medium,Weekday,Medium
TXN00294,Tamilnad Mercantile Bank Limited,2021-22,21.845991685082243,1,00:00-04:00,Medium,Weekday,High
TXN00153,Axis Bank Limited,2021-22,6.26,1,00:00-04:00,Small,Weekend,Medium
TXN00111,ICICI Bank Limited,2022-23,27.81,0,16:00-20:00,Medium,Weekend,Low
TXN00404,Kotak Mahindra Bank Limited,2023-24,5.24,0,12:00-16:00,Small,Weekday,Low
TXN00154,The Dhanalakshmi Bank Limited,2021-22,18.314829699448786,1,00:00-04:00,Medium,Weekend,High
TXN00164,Tamilnad Mercantile Bank Limited,2023-24,15.92,0,08:00-12:00,Medium,Weekday,High
TXN00451,Karur Vysya Bank Limited,2023-24,45.31,0,12:00-16:00,Medium,Weekday,Low
TXN00040,CSB Bank Limited,2021-22,12.44,0,08:00-12:00,Medium,Weekday,Low
TXN00466,Karnataka Bank Limited,2021-22,24.11,0,12:00-16:00,Medium,Weekday,Low
TXN00117,Karur Vysya Bank Limited,2022-23,8.05,1,04:00-08:00,Small,Weekday,High
TXN00230,The Dhanalakshmi Bank Limited,2022-23,2.1,0,16:00-20:00,Small,Weekday,Low
TXN00140,HDFC Bank Limited,2023-24,17.698398395692536,1,04:00-08:00,Medium,Weekday,High
TXN00439,IndusInd Bank Limited,2022-23,10.006883380111951,1,00:00-04:00,Medium,Weekday,High
TXN00034,Tamilnad Mercantile Bank Limited,2022-23,26.74,1,00:00-04:00,Medium,Weekend,High
TXN00391,Karnataka Bank Limited,2023-24,23.637000884593526,1,00:00-04:00,Medium,Weekend,Medium
TXN00370,City Union Bank Limited,2023-24,4.581810306461662,1,00:00-04:00,Small,Weekday,High
TXN00251,CSB Bank Limited,2022-23,11.225982012139474,1,04:00-08:00,Medium,Weekday,High
TXN00148,Jammu and Kashmir Bank Limited,2021-22,7.450541908347422,1,20:00-00:00,Small,Weekday,High
TXN00249,RBL Bank Limited,2023-24,4.48,0,16:00-20:00,Small,Weekday,Low
TXN00179,RBL Bank Limited,2021-22,7.659241836901009,1,04:00-08:00,Small,Weekday,High
TXN00176,City Union Bank Limited,2021-22,31.52,0,12:00-16:00,Medium,Weekday,Medium
TXN00114,City Union Bank Limited,2023-24,24.82,0,16:00-20:00,Medium,Weekday,Low
TXN00087,Axis Bank Limited,2022-23,17.18,0,16:00-20:00,Medium,Weekend,Medium
TXN00295,CSB Bank Limited,2021-22,7.71,1,00:00-04:00,Small,Weekend,High
TXN00148,Jammu and Kashmir Bank Limited,2021-22,7.81,1,00:00-04:00,Small,Weekday,Low
TXN00249,RBL Bank Limited,2023-24,4.48,0,12:00-16:00,Small,Weekend,Medium
